Table ID,Types
1-1646960-3,text; text; text; text; text
1-16527640-2,text; real; text; text; text; dense_vector
1-16570286-2,text; dense_vector; real; real; real; text; text; real; real
1-165732-2,real; real; text; text; text; text
1-16575609-5,real; dense_vector; text; text; text
1-16581695-2,text; text; text; text; text; text
1-16617011-1,real; real; text; text; text; text; text
1-16661199-2,real; text; text; text; real; real; text; real
1-16678052-2,real; text; text; text; real; real; text; real
1-16689920-1,text; text; text; text; text; text; text; text; text; text
1-16710742-3,real; text; text; text; real; real; text; text; real
1-16729063-1,real; dense_vector; text; text; text
1-16729076-1,real; text; text; text; text; text; real
1-1672976-2,text; real; real; real; real; real; real; real; real; text
1-16731248-1,text; text; real; text; text; text; text
1-16741821-9,text; text; text; text; text; text; text; text; text
1-16751596-16,text; text; text; text; real
1-1676073-13,text; text; text; text; text; text; text; text; text
1-16770037-4,dense_vector; real; real; real; real; real; real; text; real; real; text; real
1-16779068-5,real; text; text; text; text; text; text; text; text; text; text
1-16796625-1,text; text; real; text; text; real
1-1682026-2,real; text; text; text; text; text; text; text
1-1686313-1,text; text; real; real; text
1-16864968-8,real; text; text; text; dense_vector; real; text; real
1-16864968-9,real; text; text; text; dense_vector; real; text; real
1-16893837-4,text; text; text; text; text; text; text; text; text
1-16940409-1,dense_vector; text; real; real; text; text; real
1-16951593-1,text; text; text; text; text; text; text; text
1-1697190-1,real; real; real; real; real; real; real; text; real; real
1-17001658-6,real; text; dense_vector; text; text; text; text; text; text
1-17030926-3,real; real; text; text; text; text
1-17039232-3,dense_vector; text; text; text; text; text; text
1-1705429-1,text; real; real; text; real; real; real; text
1-17058151-5,real; text; dense_vector; text; text; text; text; text; text
1-17060277-6,real; text; dense_vector; text; text; text; text; text; text
1-17060277-7,real; text; dense_vector; text; text; text; text; text; text
1-1708050-3,real; real; real; real; real; real; text; text; text; text; dense_vector
1-17085724-1,text; text; text; text; text
1-170961-2,text; text; text; real; text
1-170969-2,text; text; text; real; text
1-17102076-9,real; text; dense_vector; text; text; text; text; text; text
1-17115950-2,dense_vector; text; text; text; text; text
1-17118657-7,real; text; text; text; text; text; text; dense_vector; text
1-171236-2,text; text; text; real; text
1-171361-2,text; text; text; real; text
1-17140608-11,real; text; dense_vector; text; text; text; text; text; text
1-1714685-1,text; text; real; text; text; text; text
1-171666-1,real; text; real; real; text; dense_vector
1-171748-3,text; text; text; text; text
1-17251764-1,text; text; real; text; text; dense_vector
1-1725413-5,dense_vector; real; real; real; real; real
1-17275810-7,dense_vector; text; text; text; text; text
1-17288825-5,real; text; dense_vector; text; text; text; text; text; text
1-17288845-9,real; text; dense_vector; text; text; text; text; text; text
1-17289224-1,text; text; dense_vector; real; real; real; real; text
1-17308269-2,real; text; dense_vector; text; text; text
1-17311759-5,real; text; dense_vector; text; text; text; text; text; text
1-17311759-8,real; text; dense_vector; text; text; text; text; text; text
1-17311783-6,real; text; dense_vector; text; text; text; text; text; text
1-17322817-6,real; text; dense_vector; text; text; text; text; text; text
1-17325580-10,real; text; dense_vector; text; text; text; text; text; text
1-17326036-7,real; text; dense_vector; text; text; text; text; text; text
1-17355628-7,real; text; dense_vector; text; text; text; text; text; text
1-17355716-10,real; text; dense_vector; text; text; text; text; text; text
1-17355743-1,real; real; text; text; text; text
1-17359181-1,real; dense_vector; real; real; real; real; real; real; text; real
1-17382360-9,real; text; dense_vector; text; text; text; text; text; text
1-17413485-1,text; text; text; text; text
1-17416221-1,text; text; dense_vector; real; real
1-17419587-1,real; text; dense_vector; text; real; real; real; real; real; real; real; real
1-174266-6,real; text; real; real; real; real; real; real; real; real; real; real; real
1-17467147-1,real; text; text; text; text; text; real
1-17481974-1,real; text; text; text; text; text
1-17525955-2,real; text; text; text; text; text
1-17538810-7,text; text; text; text; text
1-1756264-2,text; real; real; text; text
1-17598822-11,text; real; real; real; real; real
1-17621978-11,real; text; dense_vector; text; text; text; text; text; text
1-17623902-1,real; real; text; text; text; text; real
1-17632217-2,real; text; real; text; text; text; real
1-17634290-7,real; text; text; text; dense_vector; real; text; text; text; text; text; text
1-17641206-6,real; text; text; text; text; text; text
1-176524-2,text; text; text; real; text
1-17675675-2,text; text; text; text; text; text; text; text; text; text; text; text
1-17697980-1,text; real; text; real; text; text; text
1-17758010-2,real; real; text; text; text; text; text
1-17779448-1,real; text; text; text; text; text; real
1-17781886-1,real; text; text; text; text; text; real
1-17798093-20,text; text; text; text; text
1-17822401-1,text; text; text; text; dense_vector
1-178389-1,text; text; text; real; dense_vector
1-178408-1,text; text; text; real; dense_vector
1-17848578-1,real; text; text; text; text; text; real
1-17861265-1,real; real; text; text; text; text; text; text
1-17971449-2,dense_vector; real; real; real; text; real; text
1-18018214-2,real; text; real; real; real; real; real; real; real
1-1802522-3,text; text; text; text; text
1-1805191-36,text; dense_vector; text; real; text; text
1-18052353-4,text; text; text; text; text; text; text; text; text; text; text; text
1-18055005-1,real; real; text; text; text; text; text; text
1-18102421-2,real; real; text; text; text; text; text
1-18106841-1,real; text; text; text; text; text; text
1-18143210-2,text; text; real; text; real; real
1-18173916-8,text; text; text; text; text; text
1-18198579-6,real; real; real; real; real; real; real; text; text; text; text; text
1-182298-5,dense_vector; real; real; real; real; real
1-18254488-2,real; text; text; real; real; real; real; real
1-18268826-1,real; real; text; text; text; text; text; text
1-1827690-4,text; text; text; text; text; text; text
1-18277458-2,text; text; dense_vector; text; text; text
1-18278508-4,text; text; text; text; text; text; text
1-18278508-6,text; text; text; text; text; text; text
1-18341614-11,text; dense_vector; text; text; text; text; text; text; text
1-18349697-1,text; text; real; text; text; text
1-18367694-3,real; real; text; text; text; text; real
1-18428024-3,real; real; text; text; text; text
1-18461635-1,dense_vector; text; text; text; text; text; text
1-1850282-5,text; text; text; text; text; text
1-1852270-7,text; text; text; text; text
1-1852650-1,real; text; real; real; real; text
1-1855342-5,text; text; real; real; real; real; real; real; real; real; real; real; real; real; real; real; real; real; real; real; real; real; real
1-18563954-3,text; text; text; text; text
1-18569389-1,real; text; text; text; text; text; text
1-1858574-2,real; text; text; dense_vector; text; text; text; text
1-18597302-1,real; dense_vector; real; real; real; real; real; real; real
1-18598175-2,real; text; real; text; text; text
1-18600760-1,text; text; real; text; text; text; text; real; real
1-18600760-19,text; text; real; text; text; text; text; real; real
1-18600760-2,text; text; real; text; text; text; text; real; real
1-18600760-4,text; text; real; text; text; text; text; real; real
1-18600760-7,text; text; real; text; text; text; text; real; real
1-18600760-9,text; text; real; text; text; text; text; real; real
1-18626383-2,dense_vector; text; real; real; text; text
1-18646111-13,text; text; text; text; text; text; text; text; text; text
1-186468-1,text; text; text; text; text; text
1-187239-1,text; text; text; text; text
1-1876825-6,real; real; text; text; text; text; text
1-18812411-3,text; dense_vector; text; real; real; real; real; real; text; text
1-1881642-1,text; text; text; text; text; text; text; text
1-1888165-1,text; text; text; real; real; real; real; real; real; real; text; real; real; real; text; text
1-18888159-1,real; text; dense_vector; real; real; real
1-18893428-1,real; text; text; text; dense_vector; text
1-18950885-3,real; text; text; real; real; text; text
1-1895522-2,text; real; text; real; text; real; text
1-18987377-1,text; text; text; text; text
1-19061741-1,text; text; real; text; real; text; text
1-19072602-2,real; text; dense_vector; text; text; text
1-19072602-5,real; text; dense_vector; text; text; text
1-19115414-4,text; text; text; text; text; dense_vector
1-19149550-7,real; text; real; real; real; real
1-19188562-2,real; text; text; text; text; text; text; text
1-19210115-1,text; dense_vector; real; text; real; real; text; text
1-19215259-1,text; text; text; text; dense_vector
1-1924975-1,real; real; text; text; real; text; real; text
1-19255192-1,real; real; real; real; real; real
1-19304764-2,text; text; real; real; real
1-19312274-3,text; dense_vector; text; text; real; real; real; real; real
1-19329117-1,text; text; real; text; text
1-1939214-1,real; real; text; text; text; text
1-1939367-1,text; real; text; real; text
1-1939405-2,text; real; text; real; text
1-1940012-2,real; text; text; text; text; text; text; real
1-1942366-7,real; text; text; text; text; text
1-1952065-4,text; real; real; real; real
1-19524523-1,text; real; real; real; real; real; real
1-19529639-3,text; text; text; text; text; text; text; text; text; text
1-19534677-1,real; text; text; text; text; text; text
1-19542477-8,real; text; text; text; real
1-19611329-1,text; text; text; text; real
1-1963459-2,real; text; text; dense_vector; text; text; text; text; text; text
1-1964010-2,text; real; text; text; text; text; text
1-19651669-1,text; text; text; text; text; text
1-1965650-10,real; text; text; dense_vector; text; text
1-1965650-2,real; text; text; dense_vector; text; text
1-1965650-7,real; text; text; dense_vector; text; text
1-1965650-8,real; text; text; dense_vector; text; text
1-1969634-1,text; dense_vector; real; text; real; text; real; text
1-19722436-2,real; text; dense_vector; text; text; text; text
1-1973729-1,text; dense_vector; real; text; real; text; real
1-1973729-2,text; dense_vector; real; text; real; text; real; real; text
1-1974443-1,text; dense_vector; text; real; text; real; real; text
1-19744915-15,real; text; real; real; real; text; text
1-19744915-16,real; text; real; real; real; text; text
1-19744915-3,real; text; text; text; text; text; text; text; text; text; text
1-1974545-1,text; dense_vector; text; real; text; real; real
1-1974632-1,text; dense_vector; text; real; text; real; real
1-19753079-13,text; dense_vector; text; real; text; text
1-19760-1,text; text; text; text; text; text
1-197638-7,real; text; text; real; real; real; real
1-19766-1,dense_vector; real; real; real; real
1-19769687-3,text; real; real; real; text; text
1-19769948-26,real; real; text; real; real; real; real
1-198175-2,real; text; text; text; dense_vector; text; text
1-1982739-2,text; text; text; text; real; real; real
1-19839391-3,text; real; real; real; real; text; text
1-19864214-3,text; real; real; real; real; text; text
1-19897294-4,text; real; text; dense_vector; text
1-1990460-1,real; real; text; text; text; text
1-1992924-3,real; text; text; text; text
1-19930660-3,text; text; text; text; text
1-19948664-1,text; text; text; real; text; text
1-1999350-1,real; real; text; text; text; text
1-2001348-1,text; text; text; text; text; real; real; text; text
1-20018310-1,text; text; real; real; real
1-20032301-3,text; text; text; text; text; text; text
1-20074209-1,real; text; text; text; text; dense_vector; text; text
1-20140132-1,dense_vector; text; text; text; text; real; text
1-20142629-2,real; real; real; real; real; real; real
1-20159025-1,text; text; text; text; text; text; text; text
1-20345624-2,real; real; real; text; text; text; text; text
1-20354-5,text; text; text; text; text; text
1-20367820-16,real; real; text; real; real; real; text
1-20396-1,real; text; dense_vector; real; real; real; real; real; text; text
1-20462111-1,text; dense_vector; text; text; text; text
1-2051288-1,text; dense_vector; text; real; real
1-20522228-2,real; text; text; real; text; text; text; text
1-20538157-2,real; real; text; text; text; text
1-20573232-1,text; real; text; real; text; real; text; real; text; real; text; real; text; real; real; text
1-206361-2,real; text; real; text; real; real
1-2064747-1,text; dense_vector; text; text; real; real; text
1-20683381-3,text; real; real; text; text; text; text
1-2068719-1,text; text; text; text; text
1-20704243-6,real; real; text; text; text; text; text
1-2071644-2,text; real; real; text; text; text; text; text
1-20726262-5,real; real; text; text; text; text; text; text
1-20726262-6,real; real; text; text; text; text; text; text
1-20745706-1,text; text; text; text; text; real; text
1-20745746-1,text; text; text; text; text; real; text
1-20745759-1,real; text; text; text; text; real; text
1-20750731-1,text; text; real; text; real; text; real
1-20754016-2,dense_vector; text; real; real; text; text
1-2076463-2,text; dense_vector; text; text; real; real
1-2076490-1,text; dense_vector; text; text; text; real
1-2076516-1,text; dense_vector; text; text; real; real
1-2076522-2,text; dense_vector; text; text; real; real; text
1-2076533-1,text; dense_vector; text; text; real; real
1-207795-1,text; text; text; text; text
1-20803065-1,text; text; text; text; text; text; real
1-20819379-2,real; dense_vector; text; text; text; text
1-20823568-3,text; real; real; real; real
1-20849830-1,real; text; text; text; real; real; text
1-20855452-4,real; text; real; real; real; real; text
1-20872722-1,real; real; text; text; text; text; text
1-20884163-2,real; text; text; dense_vector; text; text; text; text
1-20887670-1,text; dense_vector; real; text; real; text; text
1-20903658-1,text; text; text; text; text
1-20942925-1,real; real; text; text; text; text; text; text
1-20963074-1,text; text; text; text; text
1-20971444-3,real; text; text; real; text; text
1-20996923-20,text; text; text; dense_vector; text; text; text
1-209977-1,text; dense_vector; real; real; real; text; text
1-21007615-1,real; text; text; text; real; real; text
1-21012786-2,text; text; text; text; text
1-21025437-3,real; real; text; text; text; text; text
1-21025437-5,real; real; text; text; text; text; text
1-2102945-1,text; text; text; text; text
1-21076286-2,text; text; text; text; text
1-21092427-1,real; text; text; text; real; real; text
1-21132404-1,text; text; real; text; real; text
1-2119448-3,real; text; text; text; text
1-21223773-2,text; dense_vector; text; text; real; real; real; real
1-21234111-10,real; text; text; text; text; text; text; text; text; text; text; text
1-21258-1,text; text; text; text; real; real; real; real; real
1-21260421-1,text; text; dense_vector; real; text; text; text
1-21269441-4,text; text; text; text; dense_vector; text
1-21297652-1,real; text; real; text; text
1-21310575-2,text; text; real; real; text
1-21373283-3,real; text; text; text; text; text; dense_vector
1-2139111-1,real; real; text; text; text; text
1-21422977-1,real; text; text; text; text; text; text; real; text
1-21422977-2,real; text; text; text; text; text; text; text; text
1-2144389-9,real; text; text; text; text; text
1-2144863-1,real; text; text; dense_vector; text; text; text; text; text; text
1-21501518-1,text; text; text; text; text; text
1-21535453-1,text; text; text; text; text
1-21636599-1,text; real; real; real; real
1-21692771-1,text; text; text; text; text; text
1-2169966-2,real; real; real; real; real; real; text; text; text; text; dense_vector
1-2175685-1,real; text; text; dense_vector; text; text; text; text; text; text
1-21790203-1,text; text; text; text; text
1-21795650-1,real; text; dense_vector; real; real; real; real; real; real; text
1-21795846-1,real; text; dense_vector; real; real; real; real; real; real; text
1-2182573-2,real; real; real; real; real; real; text; text; text; text; dense_vector
1-2190919-3,real; real; real; real; real; real; text; text; text; text; dense_vector
1-2192067-4,text; text; text; text; text
1-2196127-1,text; text; text; dense_vector; text; text; text; text; text; text
1-2199290-1,text; real; text; text; text; text; text
1-2199290-2,text; real; text; text; text; text; text
1-21995420-6,real; text; real; real; text; text; text; text; text
1-2201724-1,text; real; text; text; text; text
1-22050544-1,text; text; text; text; text; text; text; text
1-22056184-1,real; text; dense_vector; real; real; real; real; real; text; text
1-22058547-1,text; text; real; real; text; text
1-2208838-4,text; text; dense_vector; text; real; text; real
1-22133191-3,dense_vector; text; text; text; text; text; text
1-221398-1,text; text; text; real; text
1-2216245-2,real; real; real; real; real; real; text; text; text; text; dense_vector
1-2221484-2,real; real; text; text; text; text
1-2223177-3,real; real; text; text; text; text; text; text
1-222448-1,real; text; text; text; text; text; text
1-2224692-1,text; text; text; real; text; text; text
1-22265225-1,text; text; text; text; text; text; text; text
1-22265261-1,text; text; text; real; text; text; text; text
1-2226817-6,real; real; text; text; text; text; text
1-2226817-7,real; real; text; text; text; text; text
1-22298383-1,text; text; text; text; dense_vector; text; text; text; text; text; text
1-22329326-1,dense_vector; text; text; real; text
1-22353769-3,real; text; text; real; text; text
1-22355-11,real; text; dense_vector; text; real; real; real; real
1-22355-50,real; text; dense_vector; text; real; real; real; real
1-22355-71,real; text; dense_vector; text; real; real; real; real
1-22357065-1,real; text; dense_vector; text; text; text; text; text; text
1-22385461-6,text; text; text; text; text; text
1-22385461-9,text; text; text; text; text; text
1-22464308-2,real; text; text; text; text; text; dense_vector; text
1-224672-2,text; text; dense_vector; text; text; text
1-22496344-1,text; real; text; text; real; text; text; text
1-225094-4,text; text; text; text; text
1-225198-3,text; text; text; text; text
1-225205-4,text; text; text; text; text
1-22546460-4,text; text; text; text; text; text; text
1-22582663-1,text; real; real; real; real; text; text; real
1-22589363-2,real; text; text; text; text; real
1-2259502-2,text; real; text; text; text; text; text
1-22597626-1,text; real; text; text; text; text
1-22597626-2,text; real; text; text; text; text; text
1-2259813-1,text; text; text; text; text; text
1-22607062-1,text; text; text; text; text; text
1-22640051-3,dense_vector; text; text; text; text; text; text
1-22644589-4,text; text; text; text; text; text
1-22654139-3,real; text; text; text; text; text; text
1-2266762-1,text; text; text; dense_vector; text; text; text; text; text; text
1-22667773-8,real; text; text; text; dense_vector; real; text; text; text; real; text; text
1-22669044-10,real; text; dense_vector; text; text; text; text; text; text
1-22669044-8,real; text; dense_vector; text; text; text; text; text; text
1-22669044-9,real; text; dense_vector; text; text; text; text; text; text
1-2267857-1,real; text; text; dense_vector; text; text; text; text; text; text
1-22756549-1,text; text; text; real; text; text
1-22757733-4,text; text; text; real; text; text
1-22815568-7,text; real; text; text; text; text
1-22825058-23,text; text; text; text; text; text; text; text; text
1-22848931-3,dense_vector; text; text; text; text; text
1-22849575-6,text; text; text; text; dense_vector; text
1-22860-1,text; text; text; text; text; text
1-22860990-3,text; dense_vector; text; real; real; text
1-22883210-5,real; text; dense_vector; text; text; text; text; text; text
1-22883210-8,real; text; dense_vector; text; text; text; text; text; text
1-22901612-2,text; text; text; real; real; real; text
1-22904707-1,real; real; text; text; text; text; real; text
1-22916979-2,real; text; text; text; real; text; text
1-22951646-1,text; text; text; text; text; text; real; real
1-22962745-12,real; text; text; text; text; real; real; real; text; text
1-22993636-2,text; real; real; text; text; text; text
1-23018775-3,text; real; text; dense_vector; text; text; text; text; text; text
1-2308381-2,real; real; real; real; real; real; text; text; text; text; dense_vector
1-23097214-1,real; real; text; text; text; text; real; text
1-23114705-3,real; real; text; text; text; text
1-23122988-1,text; dense_vector; text; text; text
1-23141790-1,text; text; text; text; text
1-231623-3,real; text; real; text; real; text; real
1-23177573-1,real; real; text; text; text; text; real; text
1-23178768-7,real; text; text; real; real; real; real; real
1-23180638-1,text; text; real; real; real; text
1-23184448-3,text; dense_vector; text; real; real; text
1-23186738-10,real; text; dense_vector; text; text; text; text; text; text
1-23186738-9,real; text; dense_vector; text; text; text; text; text; text
1-23211041-7,real; text; dense_vector; text; text; text; text; text; text
1-23214833-1,text; dense_vector; text; text; real; text
1-23224961-2,text; text; text; text; text; text; text
1-23248940-6,real; text; dense_vector; text; text; text; text; text; text
1-23248940-8,real; text; dense_vector; text; text; text; text; text; text
1-23248967-5,real; text; dense_vector; text; text; text; text; text; text
1-23248967-9,real; text; dense_vector; text; text; text; text; text; text
1-23258574-2,text; real; text; text; text; text; text
1-23265433-2,text; real; text; text; text; text; text
1-23274514-5,real; text; dense_vector; text; text; text; text; text; text
1-23281862-5,real; text; dense_vector; text; text; text; text; text; text
1-23281862-9,real; text; dense_vector; text; text; text; text; text; text
1-23284271-10,real; text; dense_vector; text; text; text; text; text; text
1-23285761-11,real; text; dense_vector; text; text; text; text; text; text
1-23285761-7,real; text; dense_vector; text; text; text; text; text; text
1-23285805-6,real; text; dense_vector; text; text; text; text; text; text
1-23285805-8,real; text; dense_vector; text; text; text; text; text; text
1-23286158-8,real; text; dense_vector; text; text; text; text; text; text
1-23286158-9,real; text; dense_vector; text; text; text; text; text; text
1-23289934-1,real; real; text; text; text; text; text
1-23294081-10,real; real; text; text; text; text; text
1-23308178-6,real; text; text; text; dense_vector; real; text; real
1-23308178-8,real; text; text; text; dense_vector; real; text; real
1-23379776-5,real; text; text; text; text; dense_vector
1-2343740-1,real; text; text; text; text; real
1-2345558-1,real; text; text; text; text; text; text
1-23465864-3,real; text; text; text; text; text; text; text
1-23465864-5,real; text; text; text; text; text; text
1-23483182-1,real; real; text; text; text; text; text; real
1-23486853-3,real; text; text; text; dense_vector; real; text; real
1-234886-2,real; text; text; text; text; text
1-23528223-2,real; real; text; text; text; text; text
1-23575917-2,text; text; dense_vector; text; text
1-23575917-4,text; text; dense_vector; text; text
1-23575917-7,text; text; dense_vector; text; text
1-23585197-3,text; text; text; real; text
1-23624542-4,real; text; text; text; text; real; text
1-23649244-2,text; text; text; text; text; text; text; text
1-2374338-2,real; real; text; text; text; text; text; text; text; text
1-23759976-1,real; text; dense_vector; text; text; text; real; text
1-237757-10,real; real; dense_vector; real; real; text; real; text
1-237757-9,text; text; text; text; text
1-23799417-1,real; real; text; text; text; text; real; text
1-238124-1,text; text; text; text; text
1-23819979-3,text; text; text; text; text
1-23840623-4,text; text; text; text; text; text; text
1-23851574-2,text; text; text; text; dense_vector; text; text
1-2388763-1,real; text; text; text; text; text
1-23916539-3,real; text; text; dense_vector; text; real; text
1-23950611-2,real; text; real; real; text; text; real; text; real
1-23963073-1,text; real; text; text; text
1-24057191-2,real; text; text; real; text
1-24066938-1,text; text; text; real; text; text
1-24089503-1,real; real; text; text; text; text; text; text
1-2409041-4,real; real; text; text; text; text; real
1-24099476-8,text; text; text; text; text; text; text; text
1-24115349-6,text; real; text; real; text; real; text; real; text
1-24119784-1,real; text; real; real; real; real; real; real; real; text
1-24122653-2,real; text; text; text; text; text; text
1-24160890-3,text; text; text; text; dense_vector; text
1-2417345-4,text; text; text; text; text
1-2417390-4,text; text; text; text; text
1-24216139-2,text; text; dense_vector; real; text; real; text
1-24222929-2,real; text; text; text; text; text; text
1-24223834-3,real; real; text; text; text; text
1-24248450-3,text; text; text; text; dense_vector; text
1-2430014-9,real; real; text; text; text; text; text
1-24302700-2,text; text; dense_vector; text; text; text; text; text; text
1-24329520-8,text; text; text; real; real; real; text
1-24353141-1,text; text; text; text; text; text; text
1-24399615-6,real; text; real; real; real
1-24431264-17,real; real; text; real; text; real; real; text
1-24431264-18,real; text; real; real; real; real; text
1-24431348-18,real; real; text; real; real; real; real; text
1-24431348-20,real; real; text; real; real; real; real; text
1-24446718-3,text; text; text; text; text
1-24453847-2,real; text; text; text; text; dense_vector; text; real
1-2446333-2,real; text; dense_vector; text; text; text; text
1-24464253-1,real; text; text; text; real; real; text
1-24475186-2,dense_vector; text; real; real; real; real; real; real; real; real; text
1-24521345-1,text; text; text; text; text; real
1-2453243-4,real; real; text; text; text; text; real
1-2453243-5,text; text; text; text; text; text; text
1-24565004-19,text; text; text; real; real; text
1-24565004-3,text; text; text; real; real; text
1-24565004-8,text; text; text; real; real; text
1-245694-4,real; text; text; text; text; text
1-24596664-1,text; text; dense_vector; real; real; real; real; real; text; text
1-2461720-1,text; real; real; dense_vector; text
1-24625467-1,real; text; text; text; text; text; text
1-24673710-1,real; dense_vector; real; text; text; text
1-2468961-2,real; text; text; text; text; real
1-2468961-3,real; real; text; text; text; text; real
1-24697604-1,text; dense_vector; real; real; text
1-2472711-32,text; real; real; real; real; real; text; text
1-24765815-1,text; text; dense_vector; text; text; text; text; text
1-24784769-1,real; dense_vector; real; real; real; real; real
1-24786958-2,real; text; text; text; text; dense_vector; text; real
1-247955-2,real; text; text; text; text; text; text
1-24798489-1,real; dense_vector; text; text; text
1-24850630-3,text; text; text; text; text; text; text; text; text
1-24850630-4,text; text; text; text; text; text; text; text; text
1-24856090-1,real; text; text; real; real; real; real; text
1-24887326-7,real; dense_vector; text; text; real; text
1-24910742-1,real; real; text; text; text; text; text
1-24915874-1,real; text; text; text; text; real; text
1-24918268-2,real; text; text; text; text; dense_vector; text; real
1-2493389-1,text; real; text; text; text; text
1-249512-2,text; text; real; text; text
1-24990183-5,real; real; text; dense_vector; real; real; real; real; real; real; real; real; real; real
1-25016555-5,text; real; real; real; real; real; real; real
1-2501754-3,real; real; text; text; text; text
1-2501754-4,real; real; text; text; text; text
1-25030512-12,text; dense_vector; text; text; text; text
1-25030512-24,text; dense_vector; text; text; text; text
1-2503102-1,dense_vector; real; text; text; text; text; text
1-25042332-16,text; real; text; text; text
1-25042332-33,text; text; text; text; text; real
1-25058269-1,text; text; text; text; text
1-25085059-1,real; dense_vector; text; text; text
1-2508633-3,real; dense_vector; text; text; text
1-2508633-8,real; dense_vector; text; text; text
1-25131572-3,real; real; text; text; text; text; text
1-2517159-1,text; text; real; text; text
1-25173505-15,text; text; text; text; text
1-25213146-2,real; text; text; text; text; text; dense_vector
1-25256368-1,text; text; text; text; text; text; text
1-25277262-2,real; real; text; text; text; text
1-25277296-2,real; real; text; text; text; text
1-25330991-3,text; text; text; text; text
1-2534387-10,text; text; real; text; text; text; text; text; text
1-2534387-11,text; text; real; text; text; text; text; text; text
1-25345002-1,real; text; text; text; text; text; text; text; text; text
1-25363904-2,real; text; text; text; text
1-25391981-20,text; text; text; text; text; text; text; real
1-25401-2,text; text; text; text; text; text; text; text
1-25505246-7,real; text; text; text; text; text; text; text
1-25517718-3,text; text; text; real; real; real; real
1-25518547-4,real; dense_vector; text; text; text
1-25538763-1,real; text; dense_vector; real; real; real; real; real; text; text
1-25539502-1,real; text; dense_vector; real; real; real; real; real; real; text
1-25561038-1,real; text; dense_vector; real; real; real; real; real; text; text
1-25563779-4,real; text; text; text; dense_vector; text
1-25572068-1,text; dense_vector; text; text; text; text
1-25594271-2,real; text; text; dense_vector; text; text; text; text
1-25604014-8,real; real; text; text; text; text; text
1-2560677-1,text; text; text; text; text; text; text; text
1-2562572-20,text; text; text; real; text; text
1-2562572-22,text; text; text; real; text; text
1-2562572-35,text; text; text; real; text; text
1-2562572-5,text; text; dense_vector; text; real; real; real
1-2562572-52,text; text; text; real; text; text
1-256286-14,real; text; real; real; text; text; text; text
1-256286-43,real; text; real; real; text; text; text; text
1-256286-63,real; text; real; real; text; text; text; text
1-25640730-7,real; real; text; text; text; text; text; text
1-25642873-2,text; real; real; real; real; real
1-25675509-1,text; text; text; text; text; text
1-25689740-2,text; real; real; real; real; real; real; real; real
1-25691838-6,real; text; text; text; text; real
1-25696729-8,text; real; real; real; real; real; real
1-2570269-2,text; text; text; text; text; text
1-25703-2,text; real; real; real; real
1-25711913-14,text; real; real; real; real; real
1-25714995-2,text; real; real; real; real; real; real; real; real
1-25718552-2,text; real; real; real; real; real; real; real; real
1-2572788-1,text; dense_vector; text; text; text
1-25735-1,text; text; real; real; text; text; text; text
1-25737761-4,real; real; text; text; text; text; real
1-25740774-1,real; text; dense_vector; real; real; real; real; real; real; text
1-25773915-11,text; real; real; real; real; text; real; real; real; real; real; real
1-25774493-11,text; real; real; real; real; real; real; real; real
1-25794138-1,dense_vector; text; text; real; text; text
1-25800134-11,real; real; text; text; text; text
1-25800134-12,real; real; text; text; text; text
1-25800134-18,real; real; text; text; text; text
1-25800134-9,real; real; text; text; text; text
1-25802689-14,real; text; text; text; text; dense_vector
1-25831483-1,text; text; text; text; text; real
1-25869317-1,dense_vector; real; real; real; real; real; text; text; text; text
1-25923164-1,real; text; text; text; text; text
1-2597876-2,real; real; real; real; real; real; text; text; text; text; dense_vector
1-25987797-1,text; text; dense_vector; text; text
1-26077092-7,real; real; dense_vector; text; text; text
1-26129220-2,real; text; text; text; text; real
1-26130295-3,text; real; real; real; real; real
1-26131768-4,real; text; text; text; text; real
1-26139378-1,real; real; text; text; text; text; text
1-26168687-5,real; real; text; text; text; text; real
1-2618102-1,real; real; text; text; text; text; real
1-261913-1,text; text; dense_vector; real; text; real; text
1-261927-2,text; dense_vector; real; text; text; text; text; text; text; text
1-26199484-1,real; real; text; text; text; text; text; text; text
1-26202940-6,text; text; text; text; text; text; text
1-26209210-2,text; text; real; real; real; real; real; real; real; real; real
1-26214389-3,real; real; real; real; real; real; real; real; real; real
1-26223231-1,real; text; dense_vector; real; real; real; real; real; text; text
1-2623498-5,text; text; text; text; text; text; text
1-262481-2,text; dense_vector; real; text; real; text; text; text; text
1-26250176-1,text; text; text; text; text; text
1-26250218-1,text; text; text; text; text; text
1-262514-1,text; dense_vector; real; text; real; text; text
1-26263954-1,text; text; text; text; text; text
1-26275503-2,real; text; text; text; text; dense_vector; text; real
1-26293875-3,real; real; text; text; text
1-26351260-1,text; dense_vector; real; text; real; text; text
1-26375386-17,real; text; real; real; real; text; text
1-26375386-18,real; text; real; real; real; text; text
1-2639433-4,real; text; text; real; text; text; text; text
1-26397277-3,real; text; text; text; text
1-26399982-2,text; real; text; text; real; text; real
1-26400438-1,real; text; dense_vector; real; real; real; real; real; real; text
1-26416704-2,real; dense_vector; text; text; text; text
1-26427332-17,text; real; real; dense_vector; text; text; text; text
1-26429658-1,real; real; text; text; text; text; real; text
1-26458137-2,text; text; text; text; text; text; text
1-26485957-1,real; text; text; real; real; real; real; text
1-26538035-1,text; text; text; text; text; text; text; text; text
1-2655016-9,real; real; text; text; text
1-26565917-2,real; real; text; text; text; text; text
