Table ID,Headers
1-19744915-3,Order; Couple; Karen; Nicky; Jason; Ruthie; Robin; Total; Skating song; Scoreboard; Public vote
1-1974545-1,Institution; Location; Nickname; Founded; Type; Enrollment; Joined
1-1974632-1,Institution; Location; Nickname; Founded; Type; Enrollment; Joined
1-19753079-13,District; Incumbent; Party; First elected; Result; Candidates
1-19760-1,Shekhina:; Reason; Mind; Intelligence; Thought; Understanding
1-197638-7,#; Player; Age; Australian Open; French Open; Wimbledon; US Open
1-19766-1,Country; 1948/49 ($ millions); 1949/50 ($ millions); 1950/51 ($ millions); Cumulative ($ millions)
1-19769687-3,Election; # of candidates nominated; # of seats won; # of total votes; % of popular vote; result
1-19769948-26,Rank; Dismissals; Player; Caught; Stumped; Matches; Innings
1-198175-2,Map number; English name; Finnish name; Swedish name; Residence city; Dates of existence; Notes
1-1982739-2,English Name; Simplified Chinese; Traditional Chinese; Pinyin; Area; Population; Density
1-19839391-3,Pitcher; Stats; Wins; Losses; No decisions; Winning %; Seasons
1-19864214-3,Pitcher; Starts; Wins; Losses; No decisions; Winning %; Seasons
1-19897294-4,No. overall; No. in series; Family/families; Location(s); Original air date
1-1990460-1,Year; Division; League; Regular Season; Playoffs; Open Cup
1-1992924-3,Year(s); Commentator; Dual Commentator; Spokesperson; Channel
1-19930660-3,Episode; First broadcast; Rufus guest; Marcus guest; Winner
1-19948664-1,Index (Year); Author / Editor / Source; Year of publication; Countries sampled; World Ranking (1); Ranking L.A. (2)
1-1999350-1,Year; Division; League; Regular Season; Playoffs; Open Canada Cup
1-2001348-1,ILO code; Field; conclusion date; entry into force; closure for signature; Parties (April 2011); Denunciations (September 2011); revising convention(s); text and ratifications
1-20018310-1,Irrigation District; Juntas de Regantes (WUB); Asociaciones (WUA) (#); Tareas (15.9 tareas = 1 ha); Users (#)
1-20032301-3,Poll source; Dates administered; Tom Emmer (R); Matt Entenza (DFL); Tom Horner (I); Undecided; Sampling error
1-20074209-1,Year; Presidential Election Result; Redskins (Score); Opponent (Score); Redskins Win or Lose ?; Incumbent Party Win or Lose ?; Rule upheld?*; Popular Vote Won
1-20140132-1,Team; Location; Head Coach; Team Captain; Venue; Capacity; Position in 2008
1-20142629-2,"Year; Fowler; Stanier, 3 cylinder; Stanier, 2 cylinder; Fairburn; BR Standard; Total"
1-20159025-1,Pos; No; Driver; Constructor; Part 1; Part 2; Part 3; Grid
1-20345624-2,No; Season; Ep; Title; Writer; Director; Original airdate; Archive
1-20354-5,English name; Thai name; Abbr.; Transcription; Sanskrit word; Zodiac sign
1-20367820-16,Rank; Runs; Player; Matches; Innings; Not Out; Average
1-20396-1,Season; Series; Team; Races; Wins; Poles; F/Laps; Podiums; Points; Position
1-20462111-1,Date; Location; Discipline; Winner; 2nd place; 3rd place
1-2051288-1,"Barangay; Location; Classification; Population (May, 2000); Population (May, 2010)"
1-20522228-2,Episode Number; Episode; Rating; Share; Rating/Share (18-49); Viewers (millions); Rank (Timeslot); Rank (Overall)
1-20538157-2,No. in series; No. in season; Title; Directed by; Written by; Original air date
1-20573232-1,County; McCain#; McCain%; Obama#; Obama%; Barr#; Barr%; Nader#; Nader%; McKinney#; McKinney%; Others#; Others%; Total ballots; Total eligible registration; Voter turnout
1-206361-2,Number; Name; Kilometer; Pavement; Length (in m); Average climb (%)
1-2064747-1,School; Location(s); Control; Type School types are based on the Carnegie Classification of Institutions of Higher Education .; Enrollment (Fall 2010); Founded; Accreditation
1-20683381-3,Constituency; Electorate; s Spoilt vote; Total poll (%); For (%); Against (%); ± Yes side 2008 (%)
1-2068719-1,-Butadiene; 10 4 k /min −1 (30 °C) (± 1-2%) absolute; 10 4 k /min −1 (30 °C) (± 1-2%) relative; ΔH ‡ /kcal mol −1; ΔS ‡ /cal mol −1 K −1
1-20704243-6,Series #; Season #; Title; Directed by; Written by; Original air date; U.S. viewers (in millions)
1-2071644-2,Type; Beam height (mm); Flange width (mm); Web thickness (mm); Flange thickness (mm); Weight (kg/m); Cross-section area (cm 2 ); Moment of inertia in torsion (J) (cm 4 )
1-20726262-5,No. in series; No. in season; Title; Directedby; Writtenby; Originalairdate; Production code; U.S. viewers (million)
1-20726262-6,No. in series; No. in season; Title; Directedby; Writtenby; Originalairdate; Production code; U.S. viewers (million)
1-20745706-1,#; Date; at/vs.; Opponent; Score; Attendance; Record
1-20745746-1,#; Date; at/vs.; Opponent; Score; Attendance; Record
1-20745759-1,#; Date; at/vs.; Opponent; Score; Attendance; Record
1-20750731-1,County; Obama%; Obama#; McCain%; McCain#; Others%; Others#
1-20754016-2,Country; Contestant; Age; Height (cm); Height (ft); Hometown
1-2076463-2,School; Location(s); Control; Type; Enrollment; Founded
1-2076490-1,School; Location(s); Control; Type; Enrollment (2005); Founded
1-2076516-1,School; Location(s); Control; Type; Enrollment (2012); Founded
1-2076522-2,School; Location(s); Control; Type; Enrollment (fall 2010); Founded; Accreditation
1-2076533-1,School; Main location; Control; Type; Enrollment (2005); Founded
1-207795-1,English title; Russian title; Published in Russian; Published in English; Type of work
1-20803065-1,State; Senator; Party; Switched Party; Prior background; Religion; Birth year
1-20819379-2,Tie no; Team 1; Agg.; Team 2; 1st leg; 2nd leg
1-20823568-3,Recipient; First place(s); Second place(s); Third place(s); Total placings(s)
1-20849830-1,Game; Date; Opponent; Result; Boilermakers points; Opponents; Record
1-20855452-4,Sd; Player; Points; Points defending; Points won; New points; Status
1-20872722-1,Round; Choice; Player; Position; Height; Weight; College
1-20884163-2,Rd.; Race Title; Circuit; City / State; Date; Winner; Team; Report
1-20887670-1,Institution; Location; Year Joined; Affiliation; Enrollment; Mascot; Colors
1-20903658-1,Title/Subject; Public Office; Artist; Date Painted/Created; Medium
1-20942925-1,№; #; Title; Directed by; Written by; Original air date; Production code; U.S. viewers (millions)
1-20963074-1,Year (Ceremony); Film title used in nomination; Original title; Director; Result
1-20971444-3,Episode; First Air Date; Rating (18–49); Share (18–49); Viewers (millions); Rank (timeslot)
1-20996923-20,Bowl Game; Date; Stadium; City; Television; Matchups/Result; Payout ( US$ )
1-209977-1,District; Capital City; Area (km²); Area (sq.mi); Population (2005 est); 2-letter abbreviation; 3-letter abbreviation
1-21007615-1,Game; Date; Opponent; Result; Sun Devils points; Opponents; Record
1-21012786-2,Length/Weight of Missile; Diameter of torsion spring; Height of torsion spring; Machine length; Machine width
1-21025437-3,Episode No.; Series No.; Title; Directed by; Written by; Viewers (millions); Original airdate
1-21025437-5,Episode No.; Series No.; Title; Directed by; Written by; Viewers (millions); Original airdate
1-2102945-1,Episode; Broadcast date; Run time; Viewers (in millions); Archive
1-21076286-2,Broadcast scope; Broadcast network; Broadcast term; Broadcast day and timings (in JST ); Broadcast format
1-21092427-1,Game; Date; Opponent; Result; Midshipmen points; Opponents; Record
1-21132404-1,Political parties; % 2006; Seats 2006; % 2001; Seats 2001; % 1997
1-2119448-3,Season; League; Won Promotion; Won Promotion Playoffs; Lost Promotion Playoffs
1-21223773-2,Name; Nationality; Position; Matches for NQF; Appearances; Goals; Yellow Cards; Red Cards
1-21234111-10,Order; Couple; Karen; Nicky; Jason; Ruthie; Robin; Total; Scoreboard; Song; Public Vote %; Result
1-21258-1,Period; Births; Deaths; Difference; Crude Birth Rate; Crude Death Rate; Natural Increase; Total Fertility Rate; Infant Mortality Rate
1-21260421-1,Date; Tournament; Location; Purse ( $ ); Winner; Score; 1st Prize ( $ )
1-21269441-4,Conference; Regular Season Winner; Conference Player of the Year; Conference Tournament; Tournament Venue (City); Tournament Winner
1-21297652-1,Position; Driver; Points; Winnings; Series
1-21310575-2,Barangay; Area (km 2 ); Population ( 2007 census ); Households; Barangay Captain ( 2010 - 2013)
1-21373283-3,Round; Circuit; Date; Pole Position; Fastest Lap; Winning Driver; Winning Team
1-2139111-1,Year; Division; League; Regular Season; Playoffs; Open Cup
1-21422977-1,Nº; Cabinet (Nickname); Took office; Left office; Duration; Coalition parties; ministers; ministries; King
1-21422977-2,Nº; Cabinet (Nickname); Took office; Left office; Duration; Coalition parties; ministers; ministries; President
1-2144389-9,#; Japanese title; Rōmaji; Japanese translation; Vocalist; Episodes used
1-2144863-1,Year; Date; Driver; Team; Manufacturer; Laps; Miles (km); Race Time; Average Speed (mph); Report
1-21501518-1,Week #; Theme; Song choice; Original artist; Order #; Result
1-21535453-1,Source; Dates Administered; Terry McAuliffe; Brian Moran; Creigh Deeds
1-21636599-1,Period; Civilians; Security forces; Insurgents; Total per period
1-21692771-1,Issuer; Issue Date; ISIN; Amount Issued [€]; Coupon; Maturity
1-2169966-2,Year; Starts; Wins; Top 5; Top 10; Poles; Avg. Start; Avg. Finish; Winnings; Position; Team(s)
1-2175685-1,Year; Date; Driver; Team; Manufacturer; Laps; Miles (km); Race Time; Average Speed (mph); Report
1-21790203-1,Year (Ceremony); Film title used in nomination; Language(s); Director; Result
1-21795650-1,Season; Series; Team; Races; Wins; Poles; F/Laps; Podiums; Points; Position
1-21795846-1,Season; Series; Team; Races; Wins; Poles; F/Laps; Podiums; Points; Position
1-2182573-2,Year; Starts; Wins; Top 5; Top 10; Poles; Avg. Start; Avg. Finish; Winnings; Position; Team(s)
1-2190919-3,Year; Starts; Wins; Top 5; Top 10; Poles; Avg. Start; Avg. Finish; Winnings; Position; Team(s)
1-2192067-4,District; Vacator; Reason for change; Successor; Date successor seated
1-2196127-1,Year; Date; Driver; Team; Manufacturer; Laps; Miles (km); Race Time; Average Speed (mph); Report
1-2199290-1,Outcome; Year; Championship; Surface; Partner; Opponents in the final; Score in the final
1-2199290-2,Outcome; Year; Championship; Surface; Partner; Opponents in the final; Score in the final
1-21995420-6,Rank; School; Basic Elements; Tumbling; Stunts; Pyramids; Tosses; Deductions; Total
1-2201724-1,Outcome; Year; Championship; Surface; Opponent in the final; Score in the final
1-22050544-1,Dateca; Event #; Event; Winner; Prize; Entries; Prize Pool; Elapsed Time
1-22056184-1,Season; Series; Team; Races; Wins; Poles; F/Laps; Podiums; Points; Position
1-22058547-1,High School; Type; Established; Enrollment; Mascot; WIAA Classification
1-2208838-4,Season; Player; Nationality; Team; Points; Average; Played
1-22133191-3,Team; Outgoing manager(s); Manner of departure; Date of vacancy; Position in table; Replaced by; Date of appointment
1-221398-1,Number in map; Prefecture; Area (km²); Population (2001); Pop. density (/km²)
1-2216245-2,Year; Starts; Wins; Top 5; Top 10; Poles; Avg. Start; Avg. Finish; Winnings; Position; Team(s)
1-2221484-2,Series #; Season #; Title; Directed by; Written by; Original air date
1-2223177-3,Season; Episodes; Timeslot ( EST ); Season premiere; Season finale; TV season; Rank; Viewers (in millions)
1-222448-1,Sigma level; Sigma (with 1.5σ shift); DPMO; Percent defective; Percentage yield; Short-term C pk; Long-term C pk
1-2224692-1,"Fuel - Liquid, US Gallons; GGE; GGE %; BTU/Gal; kWh/Gal; HP -hr/Gal; Cal/litre"
1-22265225-1,No. in series; No. in season; Title; Directed by; Written by; Original air date; Production code; U.S. viewers (millions)
1-22265261-1,Position; Horse; Jockey; Age; Handicap (st-lb); SP; Distance; Prize money
1-2226817-6,No. in series; No. in season; Title; Directed by; Written by; Original air date; Production code
1-2226817-7,No. in series; No. in season; Title; Directed by; Written by; Original air date; Production code
1-22298383-1,Year; Day; Date; Driver; Team; Manufacturer; Laps; Miles (km); Race Time; Average Speed (mph); Report
1-22329326-1,Market Rank & City of license /Market; Station; Channel TV / DT; Owned since; Affiliation
1-22353769-3,Episode #; US Air Date; Rating; Share; Rating/Share (18-49); Viewers (millions)
1-22355-11,Rank; Athlete; Nation; Olympics; Gold; Silver; Bronze; Total(min. 2 medals)
1-22355-50,Rank; Athlete; Nation; Olympics; Gold; Silver; Bronze; Total(min. 2 medals)
1-22355-71,Rank; Athlete; Nation; Olympics; Gold; Silver; Bronze; Total(min. 2 medals)
1-22357065-1,#; Name; Nation; Years; League; FA Cup; League Cup; Other [C ]; Total
1-22385461-6,#; Spacecraft; Spacewalkers; Start ( UTC ); End (UTC); Duration
1-22385461-9,#; Spacecraft; Spacewalkers; Start ( UTC ); End (UTC); Duration
1-22464308-2,Stage; Stage winner; General classification; Points classification; Mountains classification; Malaysian rider classification; Team classification; Malaysian team classification
1-224672-2,Office; Type; Location; Elected; Term began; Term ended
1-22496344-1,Name; #; Position; Height; Weight; Year; Home Town; High School
1-225094-4,District; Vacator; Reason for change; Successor; Date successor seated
1-225198-3,State (class); Vacator; Reason for change; Successor; Date of successors formal installation
1-225205-4,District; Vacator; Reason for change; Successor; Date successor seated
1-22546460-4,Best Male MC; Best Female MC; Best Male Artist; Best Female Artist; Best Male Lyricist; Best Female Lyricist; Best Male Record
1-22582663-1,Party Name; States contested; Seats contested; Seats won; No. of Votes; % of Votes; % in Seats contested; Forfeited in seats
1-22589363-2,Series #; Title; Directed by; Written by; Original air date; Production code
1-2259502-2,Outcome; Year; Championship; Surface; Partner; Opponents; Score
1-22597626-1,Outcome; Year; Championship; Surface; Opponent in the final; Score in the final
1-22597626-2,Outcome; Year; Championship; Surface; Partner; Opponents in the final; Score in the final
1-2259813-1,Performance comparison; 78 Fury; 78 Monaco; 79 St. Regis; 80 St. Regis; 81 St. Regis
1-22607062-1,Ticket / Office; Secretary of State; Comptroller; Attorney General; Treasurer; State Engineer
1-22640051-3,Team; Outgoing manager; Manner of departure; Date of vacancy; Replaced by; Date of appointment; Position in table
1-22644589-4,Event; Season; Compulsory Dance (CD); Original Dance (OD); Free Dance (FD); Combined Total Score
1-22654139-3,Year; Network; Race caller; s Host; s Analyst; Reporters; Trophy presentation
1-2266762-1,Year; Date; Driver; Team; Manufacturer; Laps; Miles (km); Race time; Average speed (mph); Report
1-22667773-8,N; P; Name; EU; Country; Age; Type; Moving from; Transfer window; Ends; Transfer fee; Source
1-22669044-10,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-22669044-8,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-22669044-9,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-2267857-1,Year; Date; Driver; Team; Manufacturer; Laps; Miles (km); Race Time; Average Speed (mph); Report
1-22756549-1,Constituency; Winner; Party; Margin; Runner-up a; Party a
1-22757733-4,Constituency; Winner; Party; Margin; Runner-up a; Party a
1-22815568-7,County; Population; Unemployment Rate; Market Income Per Capita; Poverty Rate; Status
1-22825058-23,Edition; Round; Date; Partnering; Against; Surface; Opponents; W/L; Result
1-22848931-3,Team; Outgoing manager; Manner of departure; Date of vacancy; Replaced by; Date of appointment
1-22849575-6,Conference; Regular Season Winner; Conference Player of the Year; Conference Tournament; Tournament Venue (City); Tournament Winner
1-22860-1,Age (before); America; Atlantic Europe; Maghreb; Mediterranean Europe; Central Europe
1-22860990-3,Date; Location; Opponent; Spartans Points; Opp. Points; Record
1-22883210-5,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-22883210-8,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-22901612-2,Region; Citation; Court of Appeals; Established; Judges; Meeting places; Chief judge
1-22904707-1,No.; #; Title; Directed by; Written by; U.S. viewers (million); Rank (week); Original air date
1-22916979-2,Rank; Census-designated place; Metropolitan area; State; Population (2000 census); Land area (mi 2 ); Population density (people per mi 2 )
1-22951646-1,Season; Premiere; Finale; Reunion; Winners; Runners up; Number of contestants; Number of episodes
1-22962745-12,Season; Winner; Captain; Coach; League finish; Mat; W; L; Win %; Runner-up
1-22993636-2,Team; SEC Wins; SEC Losses; Percentage; Home Record; Road Record; Overall Record
1-23018775-3,Pos; ##; Name; Team; Lap One; Lap Two; Lap Three; Lap Four; Total Time; Avg. Speed
1-2308381-2,Year; Starts; Wins; Top 5; Top 10; Poles; Avg. Start; Avg. Finish; Winnings; Position; Team(s)
1-23097214-1,Series #; Season #; Title; Directed by; Written by; Original air date; Production code; U.S. viewers (millions)
1-23114705-3,No. in series; No. in season; Title; Directed by; Written by; Original air date
1-23122988-1,Episode; Location; Headliner; Comedians; Airdate
1-23141790-1,Year (Ceremony); Film title used in nomination; Original title; Director; Result
1-231623-3,Rank; District; Population; Growth rate; Sex ratio; Literacy; Density per Kilometer
1-23177573-1,No.; #; Title; Directed by; Written by; U.S. viewers (million); Rank (week); Original air date
1-23178768-7,R; Player; Position; League; Champions League; Coppa Italia; Super Coppa; Total
1-23180638-1,Release; Oricon Albums Chart; Peak Position; Debut Sales (copies); Sales Total (copies); Chart Run
1-23184448-3,Date; Location; Opponent; Cyclones Points; Opp. Points; Record
1-23186738-10,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-23186738-9,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-23211041-7,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-23214833-1,Club; Location; Manager; Stadium; Capacity; Team captain
1-23224961-2,Season; Mittelfranken Nord; Mittelfranken Süd; Unterfranken West; Unterfranken Ost; Oberfranken West; Oberfranken Ost
1-23248940-6,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-23248940-8,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-23248967-5,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-23248967-9,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-23258574-2,Outcome; Year; Championship; Surface; Partner; Opponents; Score
1-23265433-2,Month; Week; Overall; Offensive; Defensive; Transition; Rookie
1-23274514-5,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-23281862-5,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-23281862-9,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-23284271-10,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-23285761-11,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Series
1-23285761-7,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-23285805-6,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-23285805-8,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-23286158-8,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-23286158-9,Game; Date; Team; Score; High points; High rebounds; High assists; Location Attendance; Record
1-23289934-1,No. in series; No. in season; Title; Directed by; Written by; Original air date; Production code
1-23294081-10,No.; #; Original airdate; Performer 1; Performer 2; Performer 3; Performer 4
1-23308178-6,Game; Date; Opponent; Score; Location; Attendance; Record; Points
1-23308178-8,Game; Date; Opponent; Score; Location; Attendance; Record; Points
1-23379776-5,Year; Title of Drama; Name of Role; Nature of Role; Co-Artists; Location
1-2343740-1,Episode Number; Title; Directed By; Written By; Original Air Date; Production Code
1-2345558-1,#; Title; Director; Writer(s); Original air date; Production Code; U.S. viewers (millions)
1-23465864-3,Rank; Rider; Mon 24 Aug; Tues 25 Aug; Wed 26 Aug; Thurs 27 Aug; Fri 28 Aug; Sat 29 Aug
1-23465864-5,Rank; Rider; Mon 24 Aug; Tues 25 Aug; Wed 26 Aug; Thurs 27 Aug; Fri 28 Aug
1-23483182-1,No. in series; No. in season; Title; Directed by; Written by; U.S. viewers (million); Original air date; Production code
1-23486853-3,Game; Date; Opponent; Score; Location; Attendance; Record; Points
1-234886-2,No. in series; Title; Directed by; Written by; Original air date; Prod. Code
1-23528223-2,No. in series; No. in season; Title; Directed by; Written by; Original air date; U.S. viewers (millions)
1-23575917-2,Episode; First broadcast; Davids team; Lees team; Scores
1-23575917-4,Episode; First broadcast; Davids team; Lees team; Scores
1-23575917-7,Episode; First broadcast; Davids team; Lees team; Scores
1-23585197-3,Artist; Song (English translation); Songwriter(s); Position; Date Eliminated
1-23624542-4,Week; Date; Opponent; Final Score; Result; Attendance; Record
1-23649244-2,Song 1 title; Artist 1; Song 2 title; Artist 2; Mix artist; Guitar part?; Mix pack; Release date
1-2374338-2,Year; Population; Serbs; Germans; Romanians; Hungarians; Croats; Roma; Slovaks; Rest
1-23759976-1,Rank; Building [A ]; City; Country; Height (m); Height (ft); Floors; Built
1-237757-10,Season; Lowest; Low Team; Average; Highest; High Team; 2nd Highest; 2nd Team
1-237757-9,Player; Position; NASL years; NASL club(s); Accolades (Pre-NASL)
1-23799417-1,No. in Series; No. in Season; Title; Directed by; Written by; Original air date; Production code; U.S. viewers (millions)
1-238124-1,Condition; Prothrombin time; Partial thromboplastin time; Bleeding time; Platelet count
1-23819979-3,Competition; Final position; First match; Last match; Final Place
1-23840623-4,Vehicle; Operating mode; EPA rated All-electric range; EPA rated combined fuel economy; Clean electric grid California (San Francisco); U.S. national average electric mix; Dirty electric grid Rocky Mountains (Denver)
1-23851574-2,Name; Aperture m; Aper. in; Mirror/type; Nationality/Sponsors; Site; Built/Used
1-2388763-1,Year; Champions; Runners-up; Score in the final; 3rd-place; 4th-place
1-23916539-3,Week; Date; Opponent; Location; Final Score; Attendance; Record
1-23950611-2,April 2013 Cum. Rank; Name; Rank (all) 2012; Rank (all) 2013; 2013 Rank (oil companies); 2013 rev (bil. USD ); 2013 Profit (mil. USD ); Assets (bil. USD ); Market cap March 15 (mil. USD )
1-23963073-1,French Title; Date of Publication; English Translation; Writer; Artist
1-24057191-2,Series; Start date; End date; Episodes; Average viewers (millions)
1-24066938-1,Member State; Population in thousands; Population % of EU; Area km 2; Area % of EU; Pop. density People/km 2
1-24089503-1,Year; Kentucky Derby; The Preakness Stakes; Kentucky Oaks; Belmont Stakes; Travers Stakes; Breeders Cup Saturday; Breeders Cup Friday
1-2409041-4,No. in series; No. in season; Title; Directed by; Written by; Original air date; Production code
1-24099476-8,Edition; Round; Date; Against; Surface; Opponent; Win/Lose; Result
1-24115349-6,Municipality; Coakley votes; Coakley %; Brown votes; Brown %; Kennedy votes; Kennedy %; Total vote; Turnout %
1-24119784-1,Finish; Driver; Races; Wins; Poles; Top 5; Top 10; Laps Led; Points; Earnings
1-24122653-2,Episode; Airdate; Reward; Immunity; Eliminated; Vote; Finish
1-24160890-3,Conference; Regular Season Winner; Conference Player of the Year; Conference Tournament; Tournament Venue (City); Tournament Winner
1-2417345-4,District; Vacator; Reason for change; Successor; Date successor seated
1-2417390-4,District; Vacator; Reason for change; Successor; Date successor seated
1-24216139-2,Institution; Nickname; Location; Founded; Affiliation; Enrollment; Sport
1-24222929-2,No.; Title; Directed by; Written by; Original air date; Production code; U.S. viewers (in millions)
1-24223834-3,Overall; No. in series; Title; Directed by; Original air date; U.S. viewers (in millions)
1-24248450-3,Conference; Regular Season Winner; Conference Player of the Year; Conference Tournament; Tournament Venue (City); Tournament Winner
1-2430014-9,Series No.; Episode No.; Title; Directed by; Written by; UK Ratings (BBC2 Rank); Original air date
1-24302700-2,Position; Name; Nationality; Event 1 Medley; Event 2 Truck Pull; Event 3 Squat Lift; Event 4 Carwalk; Event 5 Dumbbell Press; Event 6 Atlas Stones
1-24329520-8,Borough; County; Franchise type; Members; Voters in 1800; Times contested; Fate in 1832
1-24353141-1,Character; Original Berkeley Cast; Original Broadway Cast; Original 1st US Tour Cast; Original UK Cast; Original Tokyo / Seoul Tour Cast; Original 3rd US Tour Cast
1-24399615-6,Episode no.; Airdate; Viewers; BBC Three weekly ranking; Cable rank
1-24431264-17,Seed; Rank; Player; Points; Points defending; Points won; New points; Status
1-24431264-18,Rank; Player; Points; Points defending; Points won; New points; Withdrew due to
1-24431348-18,Seed; Rank; Player; Points; Points defending; Points won; New points; Status
1-24431348-20,Seed; Rank; Player; Points; Points defending; Points won; New points; Status
1-24446718-3,Name of Award; Name of Film; Language; Awardee(s); Cash Prize
1-24453847-2,Week; Date; Kickoff; Opponent; Final score; Team record; Game site; Attendance
1-2446333-2,Round; Date; Country; Circuit; Sprint Winner; Main Winner; Report
1-24464253-1,Game; Date; Opponent; Result; Wildcats points; Opponents; Record
1-24475186-2,Country; Skip; W; L; PF; PA; Ends Won; Ends Lost; Blank Ends; Stolen Ends; Shot %
1-24521345-1,Record label; Composer; Work title; Part; Conductor; Recording year
1-2453243-4,No. in series; No. in season; Title; Directed by; Written by; Original air date; Production code
1-2453243-5,No. in series; No. in season; Title; Directed by; Written by; Original air date; Production code
1-24565004-19,Name; Position; Period; Appearances¹; Goals¹; Nationality²
1-24565004-3,Name; Position; Period; Appearances¹; Goals¹; Nationality²
1-24565004-8,Name; Position; Period; Appearances¹; Goals¹; Nationality²
1-245694-4,Season; Regular Season; Playoffs; U.S. Open Cup; CONCACAF; MLS Regular Season Record
1-24596664-1,Season; Series; Team; Races; Wins; Poles; F/Laps; Podiums; Points; Position
1-2461720-1,Theatre name; Digital Screens; IMAX Screens; Location; Language of films
1-24625467-1,No.; Title; Directed by; Written by; Original air date; Production code; U.S. viewers (million)
1-24673710-1,Year; Location; Entries; Winning Boat; Country; Skipper
1-2468961-2,No. in series; Title; Directed by; Written by; Original air date; Production code
1-2468961-3,No. in series; No. in season; Title; Directed by; Written by; Original air date; Production code
1-24697604-1,University; Location; Year Founded; QS World University Rankings 2012; Times Higher Education World University Rankings 2012-2013
1-2472711-32,Venue; Hosted; Average; Highest; Lowest; Total; Last Year; Up/Down
1-24765815-1,Rank; Player; Nationality; Team; Opponent; Score; Competition; Vote percentage
1-24784769-1,Rank; Team; Round1; Round2; Round3; Round4; Total points
1-24786958-2,Week; Date; Kickoff; Opponent; Final score; Team record; Game site; Attendance
1-247955-2,No.; Date; Tournament; Winning score; To par; Margin of victory; Runner(s)-up
1-24798489-1,Episode Number; Location; Original Airdate; Challenge Winner; Challenge
1-24850630-3,Result; Date; Race; Venue; Group; Distance; Weight (kg); Jockey; Winner/2nd
1-24850630-4,Result; Date; Race; Venue; Group; Distance; Weight; Jockey; Winner/2nd
1-24856090-1,Rank; English title; Chinese title; Average; Peak; Premiere; Finale; HK viewers
1-24887326-7,Tie no; Home team; Score 1; Away team; Attendance; Date
1-24910742-1,No. in series; No. in season; Title; Directed by; Written by; Original air date; U.S. viewers (millions)
1-24915874-1,Saddle cloth; Horse; Trainer; Jockey; Weight (kg); Barrier [b ]; Placing
1-24918268-2,Week; Date; Kickoff; Opponent; Final score; Team record; Game site; Attendance
1-2493389-1,Butter; Calories (1 tbsp .); Protein (g); Fat (g); Calcium (mg); Zinc (mg)
1-249512-2,Place Name; County(ies) [A ]; Population (2010); Land Area (2010); Density (2010)
1-24990183-5,Rank; WS Points; Name; Country; 09-10 I/O best; 09-10 GP/JGP best; 09-10 GP/JGP 2nd; 09-10 OI best; 09-10 OI 2nd; 08-09 I/O best; 08-09 GP/JGP best; 08-09 GP/JGP 2nd; 08-09 OI best; 08-09 OI 2nd
1-25016555-5,Player; Minutes; Field Goals; Rebounds; Assists; Steals; Blocks; Points
1-2501754-3,Episode #; Production Count; Original Airdate; Prod. Code; Title; Viewing Figures millions
1-2501754-4,Episode #; Production Count; Original Airdate; Prod. Code; Title; Viewing figures millions
1-25030512-12,District; Incumbent; Party; First elected; Result; Candidates
1-25030512-24,District; Incumbent; Party; First elected; Result; Candidates
1-2503102-1,Team; #; Car Sponsor(s); Driver(s); Listed Owner(s); Engine; Chassis
1-25042332-16,Region; Median income ( Intl.$ ); Below 40% of median income; Below 50% of median income; Below 60% of median income
1-25042332-33,Region; HDI; Life expectancy at birth (2001-2002); Adult literacy rate (2009); Combined gross enrollment ratio (2009); GDP (PPP) per capita (2008)
1-25058269-1,Season; Winner; Runner-up; Final Score; 3rd place
1-25085059-1,Pick #; CFL Team; Player; Position; College
1-2508633-3,Pick #; NFL Team; Player; Position; College
1-2508633-8,Pick #; NFL Team; Player; Position; College
1-25131572-3,Series #; Season #; Title; Directed by; Written by; Canadian air date; Fox Int. air date
1-2517159-1,Name of Bowl; Record; Appearances; Last Appearance; Winning %
